DZ,HB,Easting,Northing,urban,JSA2011,workpop2011
S01000215,Grampian,385959.0511,809100.4541,1,5,624
S01000216,Grampian,392500.17,809115.7914,1,5,416
S01000217,Grampian,392958.8678,809123.4744,1,38,467
S01000218,Grampian,388751.4476,809208.4571,1,5,310
S01000219,Grampian,392808.5114,809234.8568,1,35,570
S01000220,Grampian,393934.413,809286.2778,1,13,2052
S01000221,Grampian,391523.8187,809381.7832,1,20,475
S01000222,Grampian,389183.8799,809417.3791,1,10,456
S01000223,Grampian,390479.7721,809439.9233,1,10,375
S01000224,Grampian,388603.5109,809534.4137,1,8,469
S01000225,Grampian,393768.7579,809595.7334,1,5,322
S01000226,Grampian,394730.5866,809605.1779,1,3,399
S01000227,Grampian,392336.3543,809616.4671,1,3,776
S01000228,Grampian,389787.3711,809619.7345,1,18,568
S01000229,Grampian,389157.1941,809830.9906,1,10,446
S01000230,Grampian,392892.3775,809995.0998,1,8,420
S01000231,Grampian,391942.9244,810004.874,1,5,476
S01000232,Grampian,394065.3369,810005.3497,1,8,389
S01000233,Grampian,393542.5233,810083.4261,1,10,259
S01000234,Grampian,391367.602,810157.5059,1,3,456
S01000235,Grampian,391686.3423,810167.3576,1,5,570
S01000236,Grampian,394285.2789,810196.2451,1,5,348
S01000237,Grampian,388466.7275,810294.4223,1,5,459
S01000238,Grampian,391992.0603,810341.7234,1,0,321
S01000239,Grampian,393788.7674,810421.0526,1,3,437
S01000240,Grampian,393301.5458,810422.3008,1,5,388
S01000241,Grampian,392493.6189,810539.9906,1,0,500
S01000242,Grampian,394523.0297,810541.7493,1,5,538
S01000243,Grampian,393306.3371,810629.7139,1,0,398
S01000244,Grampian,389316.722,810712.6691,1,8,672
S01000245,Grampian,392919.7522,810757.0331,1,10,498
S01000246,Grampian,392499.4319,810854.5463,1,5,438
S01000247,Grampian,393190.2199,810916.6385,1,3,444
S01000248,Grampian,393478.0327,811024.5607,1,5,490
S01000249,Grampian,394135.5767,811275.6441,1,5,424
S01000250,Grampian,392806.5549,811407.6279,1,3,497
S01000251,Grampian,393149.9168,811415.8346,1,5,305
S01000252,Grampian,392331.4138,811508.8273,1,8,615
S01000253,Grampian,392893.2463,811534.8292,1,5,501
